Quarter,Month,State,City,Culture_Administration,Culture_Concert,Production_School,Production_Theatre,Production_Workshop,Service_Factory,Service_Museum
Q1,December,Florida,Springfield,27.67,68.89,41.21,90.01,3.50,16.65,59.07
,March,Illinois,Springfield,35.65,73.84,50.87,98.66,6.55,21.40,62.05
,October,Florida,Springfield,35.99,76.63,55.32,98.91,9.76,28.05,65.39
Q3,August,Florida,Fort Lauderdale,34.27,62.40,50.58,94.43,3.21,19.96,60.00
,February,Illinois,Fort Lauderdale,34.42,74.74,54.03,99.23,8.37,27.62,62.93
,November,Illinois,Fort Lauderdale,30.01,66.47,36.28,86.75,2.27,13.90,58.25
Q4,January,Florida,Tampa,36.58,74.04,53.04,98.71,7.84,24.36,62.09
,October,Florida,Tampa,29.94,65.23,39.82,79.87,1.81,12.70,57.29
,September,Illinois,Tampa,33.26,69.99,46.26,92.43,3.84,17.39,57.58
Minimum,,,,27.67,62.40,36.28,79.87,1.81,12.70,57.29
