Quarter,Month,Culture_Administration,Culture_Concert,Culture_Hotel,Residential_House,Residential_Library,Residential_Theatre,Service_Hospital,Service_Museum
Q1,,80.81,3.98,37.40,48.56,89.78,15.57,64.87,24.06
,  August,89.08,13.82,44.63,57.93,99.12,16.59,75.77,33.71
,  December,84.20,6.58,41.51,52.30,95.53,19.79,74.52,24.06
,  March,80.81,3.98,37.40,48.56,89.78,15.57,64.87,25.12
Q3,,77.28,5.66,40.34,50.22,95.70,18.00,72.55,27.47
,  February,77.28,5.66,40.34,50.22,95.70,18.00,72.55,27.47
,  October,85.85,12.27,43.43,55.62,98.08,21.23,76.08,32.14
,  September,91.77,15.40,45.64,60.27,99.17,24.01,79.82,37.62
Q4,,80.43,4.27,37.86,50.48,94.05,14.33,66.14,22.78
,  January,80.43,4.27,39.18,50.48,94.05,17.55,66.14,24.39
,  July,90.39,13.78,45.69,56.43,99.84,23.56,77.96,35.59
,  November,85.11,10.61,37.86,55.30,97.27,14.33,75.54,22.78
Minimum,,77.28,3.98,37.40,48.56,89.78,14.33,64.87,22.78
,  ,77.28,3.98,37.40,48.56,89.78,14.33,64.87,22.78
