Quarter,Month,Culture_Museum,Culture_Workshop,Production_Apartment,Production_Factory,Production_Theatre,Residential_Concert,Residential_House
Minimum,,52.33,14.70,82.04,0.60,34.67,26.47,70.79
,  ,52.33,14.70,82.04,0.60,34.67,26.47,70.79
Q1,,52.33,14.70,82.04,0.60,34.67,26.47,70.79
,  December,65.16,14.70,91.09,14.18,43.06,34.54,77.07
,  March,52.33,16.78,82.99,0.60,34.67,26.47,70.79
,  September,59.88,20.29,82.04,10.02,42.20,31.78,73.17
Q3,,57.56,17.32,82.91,1.89,40.68,27.76,71.72
,  February,57.56,17.32,82.91,1.89,40.68,27.76,71.72
,  March,65.10,19.36,94.22,14.49,50.75,36.02,77.87
,  October,63.93,21.31,88.92,11.93,43.78,32.60,75.43
Q4,,58.46,16.03,85.97,9.80,40.47,28.05,73.78
,  February,69.46,25.23,97.35,16.16,51.52,37.21,82.01
,  July,58.46,19.52,85.97,9.80,40.47,28.05,73.78
,  November,65.26,16.03,89.38,12.94,44.84,34.87,76.08
