Quarter,Month,Culture_Concert,Culture_House,Culture_Workshop,Production_Factory,Production_Theatre,Residential_Hotel,Residential_Museum,Minimum
Q1,,0.31,42.80,63.89,69.20,33.75,60.11,21.78,0.31
,  July,14.49,56.53,90.12,75.15,42.17,66.60,28.74,14.49
,  March,0.31,42.80,63.89,69.20,33.75,60.11,21.78,0.31
,  May,5.99,50.86,86.15,72.21,38.23,62.57,26.61,5.99
Q2,,1.84,46.32,85.99,67.61,36.06,60.76,21.91,1.84
,  April,6.67,51.41,89.65,67.61,39.94,64.54,25.25,6.67
,  August,17.54,58.75,92.40,77.78,42.49,66.05,25.05,17.54
,  January,1.84,46.32,85.99,69.77,36.06,60.76,21.91,1.84
Q3,,0.53,47.96,86.02,64.79,37.83,61.45,25.75,0.53
,  June,0.53,47.96,86.02,68.82,37.83,61.45,25.75,0.53
,  March,20.10,58.89,96.50,79.94,43.88,68.66,31.88,20.10
,  September,14.13,56.45,90.04,64.79,41.37,63.85,28.81,14.13
