Quarter,Month,Culture_House,Culture_Museum,Culture_Workshop,Production_Apartment,Production_Concert,Residential_Factory,Residential_Hotel,Residential_Theatre,State,City
Q1,,45.23,5.01,73.47,69.39,31.33,91.33,58.62,15.54,,
,  April,45.23,51.97,73.47,69.39,31.33,92.71,58.62,15.54,California,Berkeley
,  December,55.04,8.11,87.13,74.34,41.35,93.10,61.66,28.18,California,Berkeley
,  February,51.19,5.01,79.94,72.84,35.18,91.33,60.36,21.98,Illinois,Berkeley
Q2,,44.93,4.65,69.05,67.54,28.27,91.24,51.64,14.91,,
,  June,44.93,51.98,69.05,67.54,28.27,91.93,51.64,14.91,Illinois,Chicago
,  March,51.01,4.65,79.52,71.55,34.73,94.45,58.24,17.34,California,Chicago
,  October,54.29,5.35,88.41,73.97,39.85,91.24,87.15,22.77,Illinois,Chicago
Q4,,50.37,3.05,79.50,70.40,28.41,69.72,59.83,15.15,,
,  January,53.58,6.94,87.96,71.60,37.42,91.38,62.73,22.89,California,Malibu
,  May,50.37,3.05,79.50,70.40,28.41,92.68,59.83,15.15,Illinois,Malibu
,  November,55.84,10.90,90.86,74.07,43.09,69.72,65.08,29.07,Illinois,Malibu
