Quarter,Month,Culture_Concert,Culture_Museum,Culture_School,Service_Administration,Service_Library,Service_Theatre,State,City
Minimum,,2.23,41.58,77.50,86.57,59.39,19.11,,
,  ,2.23,41.58,77.50,86.57,59.39,19.11,,
Q1,,7.64,44.44,79.11,87.53,63.91,24.27,,
,  August,7.64,44.44,79.11,87.53,63.91,24.27,Michigan,Port Huron
,  February,9.26,59.51,85.47,97.92,77.75,32.86,Michigan,Port Huron
,  March,10.35,46.10,79.63,93.29,72.69,25.78,Michigan,Port Huron
Q3,,2.23,41.58,77.50,86.57,59.39,19.11,,
,  January,9.87,49.80,77.50,96.31,72.34,27.11,Maryland,Aberdeen
,  July,2.23,41.58,78.79,86.57,59.39,19.11,Maryland,Aberdeen
,  September,9.41,45.49,80.72,89.56,71.83,25.19,Maryland,Aberdeen
