Quarter,Month,Culture_Concert,Culture_House,Residential_Library,Residential_Theatre,Service_Hospital,Service_Hotel,Minimum,State,City
Q1,,4.82,57.99,72.29,19.94,87.04,36.00,4.82,,
,  April,4.82,57.99,72.29,19.94,87.04,36.00,4.82,Oregon,Salem
,  June,12.33,64.10,85.26,36.28,99.91,48.66,12.33,Oregon,Salem
,  March,7.97,61.69,79.48,29.87,90.82,42.17,7.97,Oregon,Portland
Q2,,1.58,47.14,65.87,18.13,88.01,36.82,1.58,,
,  February,6.58,57.85,77.49,25.23,91.12,36.82,6.58,Oregon,Salem
,  June,1.58,47.14,65.87,18.13,88.01,37.06,1.58,Oregon,Portland
,  October,9.15,63.77,78.03,36.86,98.78,47.28,9.15,Oregon,Portland
Q4,,5.51,58.63,77.20,23.78,90.65,41.11,5.51,,
,  April,15.56,65.77,87.91,38.33,99.00,48.49,15.56,Oregon,Portland
,  January,5.51,58.63,77.20,23.78,90.65,41.11,5.51,Oregon,Portland
,  November,9.82,62.93,78.34,35.15,93.09,45.68,9.82,Oregon,Salem
