Quarter,Month,Culture_House,Culture_Theatre,Culture_Workshop,Production_Hotel,Production_Museum,Residential_Apartment,Residential_Concert,Residential_Factory,Minimum,State,City
Q2,,10.09,51.31,48.93,22.98,62.35,0.78,46.20,2.62,0.78,,
,  April,12.59,51.31,98.36,30.57,72.87,3.90,49.70,82.06,3.90,Minnesota,Minneapolis
,  December,14.60,56.16,48.93,39.94,75.72,8.33,52.97,83.55,8.33,Minnesota,Rochester
,  July,10.09,55.15,89.56,22.98,62.35,0.78,46.20,2.62,0.78,Minnesota,Rochester
Q3,,7.21,48.57,48.04,19.54,63.02,1.03,41.73,71.82,1.03,,
,  August,10.48,57.70,93.48,30.62,71.58,3.11,48.79,71.82,3.11,Minnesota,Rochester
,  December,10.00,48.57,82.43,19.54,63.02,1.03,41.73,72.79,1.03,Minnesota,Minneapolis
,  November,7.21,60.20,48.04,36.55,74.12,7.09,51.56,84.45,7.09,Minnesota,Minneapolis
Q4,,6.19,53.05,86.94,18.54,62.28,0.19,40.76,74.37,0.19,,
,  May,13.21,59.85,98.44,32.88,72.83,6.49,48.39,82.04,6.49,Minnesota,Rochester
,  November,9.71,53.05,86.94,18.54,62.28,0.19,40.76,74.37,0.19,Minnesota,Rochester
,  September,6.19,55.22,92.14,51.57,70.63,3.99,47.35,76.77,3.99,Minnesota,Minneapolis
