Quarter,Month,Culture_Library,Culture_Theatre,Residential_Apartment,Residential_Museum,Residential_School,Service_Administration,Service_Hotel,Minimum,State,City
Q1,,31.12,80.21,10.70,94.95,48.01,62.95,19.45,10.70,,
,  January,31.12,80.21,10.70,94.95,48.01,62.95,19.45,10.70,Oregon,Portland
,  March,43.31,87.27,12.45,96.00,53.55,69.20,22.64,12.45,Oregon,Portland
,  May,45.83,92.15,15.22,97.82,53.68,73.61,29.28,15.22,Oregon,Portland
Q2,,32.06,81.32,11.23,95.23,52.09,61.72,21.23,11.23,,
,  February,32.06,81.32,11.23,95.75,52.09,61.72,21.66,11.23,Oregon,Redmond
,  January,46.01,93.36,16.43,99.01,61.30,79.92,29.42,16.43,Oregon,Redmond
,  June,44.18,90.76,13.72,95.23,54.62,71.79,21.23,13.72,Oregon,Redmond
Minimum,,31.12,80.21,10.70,94.95,48.01,61.72,19.45,10.70,,
,  ,31.12,80.21,10.70,94.95,48.01,61.72,19.45,10.70,,
