Quarter,Month,Culture_Concert,Culture_Workshop,Production_Factory,Production_Museum,Minimum,State,City
Q2,,88.74,32.25,9.57,61.92,9.57,,
,  April,93.62,41.97,20.41,67.87,20.41,Massachusetts,Lenox
,  November,96.39,49.77,29.55,79.26,29.55,Massachusetts,Lenox
,  September,88.74,32.25,9.57,61.92,9.57,Massachusetts,Lenox
Q3,,82.49,32.48,8.25,57.42,8.25,,
,  August,82.49,32.48,8.25,57.42,8.25,Massachusetts,Lenox
,  December,96.97,43.76,25.75,67.79,25.75,Massachusetts,Lenox
,  June,91.96,39.90,17.34,66.92,17.34,Massachusetts,Lenox
Q4,,91.08,38.39,13.93,64.77,13.93,,
,  August,98.26,53.78,31.16,81.17,31.16,Massachusetts,Lenox
,  May,91.08,38.39,13.93,64.77,13.93,Massachusetts,Lenox
,  October,92.33,41.49,24.57,67.74,24.57,Massachusetts,Lenox
Minimum,,82.49,32.25,8.25,57.42,8.25,,
,  ,82.49,32.25,8.25,57.42,8.25,,
