Quarter,Month,Production_Factory,Production_House,Residential_Hotel,Residential_Workshop,Minimum,State,City
Q1,,5.11,55.28,79.37,41.19,5.11,,
,  January,5.11,55.28,79.37,41.19,5.11,Oregon,Portland
,  July,23.12,65.23,85.14,46.46,23.12,Oregon,Redmond
,  October,35.78,71.26,94.79,49.24,35.78,Oregon,Portland
Q3,,10.94,58.11,81.16,42.27,10.94,,
,  August,25.09,66.61,89.67,47.76,25.09,Oregon,Portland
,  January,37.39,72.86,97.08,52.41,37.39,Oregon,Redmond
,  March,10.94,58.11,81.16,42.27,10.94,Oregon,Redmond
Q4,,11.05,60.47,82.90,45.36,11.05,,
,  December,32.90,68.25,92.60,46.86,32.90,Oregon,Redmond
,  February,11.05,60.47,82.90,45.36,11.05,Oregon,Portland
,  March,41.43,79.54,97.58,55.95,41.43,Oregon,Portland
Minimum,,5.11,55.28,79.37,41.19,5.11,,
,  ,5.11,55.28,79.37,41.19,5.11,,
