Quarter,Month,Culture_Theatre,Culture_Workshop,Production_Factory,Production_Library,Production_Museum,Service_Administration,Service_Concert
Q3,,49.69,20.27,3.87,86.94,40.11,67.36,29.33
,  August,49.69,20.27,3.87,86.94,40.11,67.36,29.33
,  December,60.22,28.12,16.07,96.46,44.44,76.41,36.19
,  July,56.69,22.54,11.01,91.50,42.96,75.35,33.01
Q4,,56.42,21.09,10.77,86.09,41.16,74.16,28.99
,  August,62.83,28.17,17.73,98.17,45.24,76.83,37.14
,  November,58.87,26.67,12.35,94.28,43.19,76.73,34.22
,  September,56.42,21.09,10.77,86.09,41.16,74.16,28.99
Minimum,,49.69,20.27,3.87,86.09,40.11,67.36,28.99
,  ,49.69,20.27,3.87,86.09,40.11,67.36,28.99
