Quarter,Month,Culture_Apartment,Culture_Concert,Culture_Library,Residential_Administration,Residential_Museum,Service_Hospital,Service_Hotel,Service_Theatre
Minimum,,77.04,4.54,46.38,70.52,25.92,59.14,87.45,17.04
,  ,77.04,4.54,46.38,70.52,25.92,59.14,87.45,17.04
Q2,,80.76,4.54,46.38,70.52,25.92,59.84,89.84,17.04
,  December,83.07,5.09,48.16,71.99,37.30,62.42,92.97,25.75
,  May,80.76,4.54,46.38,70.52,25.92,59.84,89.84,17.04
,  September,86.27,14.28,52.88,77.62,38.94,64.80,93.54,28.50
Q3,,77.46,5.58,47.97,71.31,34.36,59.14,92.33,24.39
,  April,77.46,5.58,48.28,71.31,34.36,59.14,92.33,24.39
,  May,83.45,17.16,51.52,79.61,44.15,69.01,94.11,30.13
,  November,84.69,13.67,47.97,76.83,38.61,64.54,93.66,25.86
Q4,,77.04,4.66,47.07,71.52,32.40,60.43,87.45,23.58
,  July,84.04,13.09,53.82,78.10,43.53,68.37,95.61,29.49
,  June,77.04,4.66,47.07,71.52,32.40,60.43,87.45,23.58
,  October,84.92,4.90,50.02,74.28,37.64,61.37,92.54,26.65
