Quarter,Month,Culture_Concert,Culture_Factory,Culture_School,Production_Hospital,Production_Theatre,Production_Workshop,Service_Administration,Service_Museum,Minimum
Q1,,2.95,47.71,86.39,93.84,13.47,59.17,76.61,24.19,2.95
,  April,9.64,55.85,92.61,99.78,25.61,68.92,83.21,42.57,9.64
,  December,2.95,47.71,86.39,95.33,13.47,59.17,76.61,24.19,2.95
,  February,4.83,52.52,87.15,93.84,21.10,63.71,80.79,35.56,4.83
Q2,,4.08,48.41,86.99,93.26,17.68,59.73,77.83,29.27,4.08
,  March,4.49,48.41,86.99,96.05,17.68,59.73,77.83,29.27,4.49
,  May,4.08,53.77,89.68,93.26,23.20,65.50,81.55,35.51,4.08
,  October,11.38,56.92,91.81,93.93,26.15,71.46,82.57,43.12,11.38
Q4,,0.90,46.06,81.22,94.41,12.77,59.38,76.70,27.37,0.90
,  January,5.73,46.06,88.19,97.31,20.69,60.15,76.70,32.96,5.73
,  June,9.96,54.77,91.77,98.00,24.29,67.18,81.53,37.26,9.96
,  October,0.90,46.36,81.22,94.41,12.77,59.38,91.78,27.37,0.90
