Quarter,Month,Culture_Administration,Culture_Museum,Culture_Theatre,Service_Concert,Service_Library,Minimum
Q1,,85.69,38.16,4.63,23.49,61.41,4.63
,  April,85.69,38.16,4.63,23.49,61.41,4.63
,  January,87.81,53.57,8.77,26.88,66.02,8.77
,  June,98.59,61.76,22.31,33.96,76.54,22.31
Q2,,81.52,33.05,3.06,23.29,62.78,3.06
,  February,89.05,60.64,8.80,32.71,75.55,8.80
,  June,81.52,33.05,3.06,23.29,62.78,3.06
,  May,87.66,45.65,4.44,26.61,65.93,4.44
Minimum,,81.52,33.05,3.06,23.29,61.41,3.06
,  ,81.52,33.05,3.06,23.29,61.41,3.06
