Quarter,Month,Culture_Administration,Culture_Workshop,Production_Concert,Production_Factory,Service_Library,Service_Museum,State,City
Q2,,16.52,49.93,21.84,75.73,2.04,37.55,,
,  July,18.71,56.42,28.87,89.53,9.42,40.45,Illinois,Chicago
,  June,16.52,49.93,21.84,75.73,2.04,37.55,Illinois,Chicago
,  November,17.69,63.30,31.36,95.21,12.34,43.53,Illinois,Chicago
Q3,,17.79,50.41,25.98,75.41,3.84,38.75,,
,  May,17.79,50.41,26.35,75.41,3.84,38.75,Illinois,Chicago
,  October,23.93,65.26,33.22,95.79,13.65,42.35,Illinois,Chicago
,  September,18.92,58.05,25.98,91.09,10.64,39.98,Illinois,Chicago
Q4,,18.52,50.09,26.68,83.68,7.06,38.76,,
,  April,18.52,50.09,26.68,83.68,7.06,38.76,Illinois,Chicago
,  August,21.62,61.39,30.17,91.08,11.51,42.17,Illinois,Chicago
,  December,24.13,73.56,34.83,98.57,13.98,45.37,Illinois,Chicago
