Quarter,Month,Culture_Museum,Culture_School,Culture_Theatre,Service_Administration,Service_Concert,Service_Library,State,City
Q1,,65.24,26.04,87.55,49.64,77.06,7.97,,
,  January,65.24,26.04,87.55,49.64,77.06,7.97,Minnesota,Hastings
,  May,72.43,41.75,95.83,60.46,85.29,19.67,Minnesota,Hastings
,  November,67.16,35.06,87.97,86.40,83.56,15.78,Maryland,Hastings
Q2,,67.14,30.90,89.50,0.23,82.62,13.93,,
,  April,71.36,39.23,93.15,58.88,84.17,18.00,Maryland,Aberdeen
,  January,75.12,42.64,99.58,0.23,87.29,23.95,Minnesota,Aberdeen
,  October,67.14,30.90,89.50,50.77,82.62,13.93,Minnesota,Aberdeen
Q4,,64.80,29.22,90.90,50.26,80.88,8.65,,
,  December,69.81,37.53,93.22,56.63,84.94,17.12,Minnesota,Rochester
,  February,64.80,29.22,90.90,50.26,80.88,8.65,Maryland,Rochester
,  June,74.51,42.25,96.25,62.87,87.34,21.97,Maryland,Rochester
