Quarter,Month,Production_Administration,Production_Apartment,Production_Factory,Residential_Hotel,Residential_School,Service_Hospital,Service_House,Service_Workshop,State,City
Q2,,32.39,70.66,10.39,65.88,25.51,52.25,93.21,13.19,,
,  August,44.45,84.26,16.25,71.79,31.77,63.37,99.99,20.93,Michigan,Detroit
,  June,38.51,78.04,14.82,70.53,25.76,57.61,93.21,18.02,Michigan,Detroit
,  September,32.39,70.66,10.39,65.88,25.51,52.25,93.52,13.19,Michigan,Detroit
Q3,,32.96,71.00,8.09,63.07,25.20,44.31,89.58,13.55,,
,  April,39.49,84.74,13.82,71.64,28.89,60.97,96.72,21.34,Michigan,Flint
,  August,32.96,71.00,8.09,63.07,25.20,44.31,89.58,16.68,Michigan,Flint
,  July,36.26,72.09,13.54,66.42,25.48,56.72,93.71,13.55,Michigan,Flint
Minimum,,32.39,70.66,8.09,63.07,25.20,44.31,89.58,13.19,,
,  ,32.39,70.66,8.09,63.07,25.20,44.31,89.58,13.19,,
