Quarter,Month,Production_Factory,Production_Library,Service_Hospital,Service_Workshop,State,City
Q1,,83.90,34.62,14.40,63.14,,
,  December,90.36,42.77,17.01,71.66,Maryland,Columbia
,  June,83.90,34.62,14.40,63.14,California,Columbia
,  March,94.71,54.19,26.34,81.80,California,Columbia
Q2,,81.10,29.13,1.67,58.88,,
,  February,89.63,47.57,16.62,74.19,California,San Francisco
,  May,81.10,29.13,1.67,58.88,California,San Francisco
,  October,86.45,37.65,13.70,68.96,Maryland,San Francisco
Q4,,83.67,29.57,13.00,62.64,,
,  April,83.67,29.57,13.00,62.64,Maryland,Los-Angeles
,  January,92.96,47.97,21.01,79.01,Maryland,Los-Angeles
,  November,89.12,41.72,15.24,70.17,California,Los-Angeles
Minimum,,81.10,29.13,1.67,58.88,,
,  ,81.10,29.13,1.67,58.88,,
