Quarter,Month,Culture_Administration,Culture_Museum,Service_Concert,Service_Hospital,Service_Theatre,State,City
Q1,,24.66,71.90,47.64,7.80,89.43,,
,  April,31.34,84.76,64.45,15.54,96.58,Oregon,Salem
,  December,24.66,71.90,47.64,7.80,89.43,Oregon,Salem
,  February,31.29,77.14,54.94,10.86,92.89,Oregon,Salem
Q2,,27.62,73.96,48.21,7.31,90.67,,
,  March,27.62,73.96,48.21,7.31,90.67,Oregon,Salem
,  May,32.36,82.64,58.99,12.17,94.04,Oregon,Salem
,  November,40.26,85.23,67.19,14.84,97.42,Oregon,Salem
Q4,,18.54,70.67,41.01,1.81,87.55,,
,  January,29.36,75.82,50.91,9.07,91.89,Oregon,Salem
,  June,33.67,82.00,63.36,14.76,94.99,Oregon,Salem
,  November,18.54,70.67,41.01,1.81,87.55,Oregon,Salem
Minimum,,18.54,70.67,41.01,1.81,87.55,,
,  ,18.54,70.67,41.01,1.81,87.55,,
