Type of building,Usage,Quarter,Month,State,City,Value
Type_of_building,Usage,Quarter,Month,State,City,Value
Production,Workshop,Q2,April,Georgia,Washington,0.7
Production,Workshop,Q3,June,Georgia,Washington,8.49
Production,Workshop,Q2,July,Georgia,Washington,8.16
Production,Workshop,Q3,August,Georgia,Washington,17.29
Production,Workshop,Q2,September,Georgia,Washington,28.93
Production,Workshop,Q3,April,Georgia,Washington,30.1
Residential,Factory,Q2,April,Georgia,Washington,31.98
Residential,Factory,Q3,June,Georgia,Washington,35.2
Residential,Factory,Q2,July,Georgia,Washington,45.52
Residential,Factory,Q3,August,Georgia,Washington,50.92
Residential,Factory,Q2,September,Georgia,Washington,54.96
Residential,Factory,Q3,April,Georgia,Washington,55.85
Production,Apartment,Q2,April,Georgia,Washington,60.09
Production,Apartment,Q3,June,Georgia,Washington,62.11
Production,Apartment,Q2,July,Georgia,Washington,63.12
Production,Apartment,Q3,August,Georgia,Washington,67.08
Production,Apartment,Q2,September,Georgia,Washington,78.88
Production,Apartment,Q3,April,Georgia,Washington,79.88
Residential,House,Q2,April,Georgia,Washington,81.19
Residential,House,Q3,June,Georgia,Washington,81.91
Residential,House,Q2,July,Georgia,Washington,86.69
Residential,House,Q3,August,Georgia,Washington,97.4
Residential,House,Q2,September,Georgia,Washington,99.85
Residential,House,Q3,April,Georgia,Washington,99.11
