Quarter,Month,Culture_House,Culture_Theatre,Residential_Apartment,Residential_Concert,Residential_Hospital,Service_Administration,Service_Hotel,State,City
Minimum,,18.07,63.24,5.65,81.08,27.12,48.27,12.58,,
,  ,18.07,63.24,5.65,81.08,27.12,48.27,12.58,,
Q1,,18.07,64.06,6.07,82.04,34.95,50.36,13.34,,
,  August,28.51,79.33,8.19,92.88,47.47,58.09,20.25,Massachusetts,Cambridge
,  March,26.53,72.82,9.16,92.06,43.98,57.13,18.69,Massachusetts,Cambridge
,  September,18.07,64.06,6.07,82.04,34.95,50.36,13.34,Massachusetts,Cambridge
Q3,,21.30,63.24,5.65,81.08,27.12,48.27,12.58,,
,  August,21.30,63.24,5.65,81.08,27.12,48.27,12.58,Massachusetts,Cambridge
,  February,26.26,74.19,9.50,92.41,43.67,58.68,19.54,Massachusetts,Cambridge
,  July,25.93,68.25,8.57,90.19,37.12,55.13,17.27,Massachusetts,Cambridge
