Quarter,Month,Production_Apartment,Production_Workshop,Residential_Factory,Residential_House,Minimum,State,City
Q1,,67.07,6.82,40.65,78.10,6.82,,
,  April,71.45,22.65,58.18,93.96,22.65,Michigan,Flint
,  March,70.01,14.52,55.63,82.76,14.52,Michigan,Port Huron
,  October,67.07,6.82,40.65,78.10,6.82,Michigan,Flint
Q2,,69.73,7.37,45.35,79.18,7.37,,
,  December,75.41,27.47,62.62,93.80,27.47,Michigan,Port Huron
,  February,69.73,7.37,45.35,79.18,7.37,Michigan,Port Huron
,  May,71.72,17.75,56.92,90.62,17.75,Michigan,Flint
Q4,,67.36,2.03,39.21,75.25,2.03,,
,  December,67.36,2.03,39.21,75.25,2.03,Michigan,Port Huron
,  January,70.90,13.18,51.55,78.02,13.18,Michigan,Flint
,  June,70.95,18.49,58.03,92.66,18.49,Michigan,Port Huron
Minimum,,67.07,2.03,39.21,75.25,2.03,,
,  ,67.07,2.03,39.21,75.25,2.03,,
