Quarter,Month,Production_Hospital,Production_Workshop,Residential_Apartment,Residential_School,Service_Factory,Service_Hotel,Minimum,State,City
Q3,,52.93,3.84,91.59,40.81,13.29,74.58,3.84,,
,  August,54.71,6.77,95.49,42.43,27.53,87.76,6.77,California,Malibu
,  December,56.90,8.80,99.44,49.26,32.72,89.55,8.80,California,Malibu
,  September,52.93,3.84,91.59,40.81,13.29,74.58,3.84,California,Malibu
Q4,,53.51,5.31,90.35,41.31,25.06,77.31,5.31,,
,  July,53.51,5.31,90.35,41.31,25.06,77.31,5.31,California,Los-Angeles
,  October,55.70,6.86,98.39,45.51,29.59,87.35,6.86,California,Los-Angeles
,  September,73.72,12.13,99.31,50.85,34.62,88.12,12.13,California,Los-Angeles
Minimum,,52.93,3.84,90.35,40.81,13.29,74.58,3.84,,
,  ,52.93,3.84,90.35,40.81,13.29,74.58,3.84,,
