Quarter,Month,Production_Administration,Production_Workshop,Service_Factory,Service_Hospital,Service_Library,State,City
Q1,,21.26,66.29,85.59,49.85,2.87,,
,  August,23.44,78.84,85.59,58.29,9.43,Florida,Fort Lauderdale
,  February,21.26,66.29,86.48,49.85,2.87,Florida,Tampa
,  June,39.60,85.42,93.07,63.36,16.79,Florida,Tampa
Q2,,23.13,77.25,84.27,56.13,6.76,,
,  January,23.13,77.25,84.27,56.13,6.76,Florida,Tampa
,  July,25.80,84.98,93.15,62.02,16.40,Florida,Fort Lauderdale
,  May,43.38,87.96,96.34,67.61,17.20,Florida,Tampa
Q3,,21.55,77.10,86.97,54.10,6.68,,
,  April,84.55,86.78,87.47,66.14,18.11,Florida,Fort Lauderdale
,  March,22.81,77.10,86.97,54.10,6.68,Florida,Fort Lauderdale
,  September,21.55,83.23,91.55,60.53,9.42,Florida,Tampa
