Quarter,Month,Culture_Museum,Culture_Theatre,Culture_Workshop,Production_Concert,Production_Factory,State,City
Q2,,3.12,35.30,82.49,18.37,65.94,,
,  December,3.12,35.30,82.49,18.37,65.94,Maryland,Berkeley
,  July,11.24,61.13,91.91,32.58,74.21,Maryland,Aberdeen
,  June,9.59,43.30,85.72,21.68,71.90,California,San Francisco
Q3,,6.30,37.38,83.72,19.19,67.78,,
,  April,11.73,52.41,86.19,29.21,72.72,Maryland,Berkeley
,  October,6.30,37.38,83.72,19.19,67.78,California,Baltimore
,  September,14.48,62.50,99.97,33.80,73.94,California,San Francisco
Q4,,0.59,34.52,76.40,15.79,63.43,,
,  August,12.76,61.21,91.11,30.91,73.20,California,Baltimore
,  May,7.60,41.07,84.56,19.39,70.49,Maryland,Aberdeen
,  November,0.59,34.52,76.40,15.79,63.43,California,San Francisco
