Quarter,Month,Production_Factory,Production_House,Residential_Apartment,Residential_Workshop,State,City
Q1,,63.54,23.03,1.10,46.37,,
,  April,63.54,23.03,1.10,46.37,Minnesota,Minneapolis
,  June,87.24,40.78,17.10,55.09,Minnesota,Minneapolis
,  March,78.00,32.39,4.63,49.89,Minnesota,Hastings
Q2,,61.96,17.03,0.29,44.59,,
,  August,84.80,37.07,13.91,51.97,Minnesota,Hastings
,  January,70.11,23.78,2.93,47.46,Minnesota,Minneapolis
,  June,61.96,17.03,0.29,44.59,Minnesota,Hastings
Q3,,66.65,24.35,2.09,47.83,,
,  April,94.02,43.05,18.47,59.20,Minnesota,Hastings
,  May,66.65,24.35,2.09,47.83,Minnesota,Hastings
,  September,81.66,36.45,5.90,49.86,Minnesota,Minneapolis
