Quarter,Month,Production_Factory,Production_House,Residential_Apartment,Residential_Hotel,Residential_Workshop,State,City
Q1,,65.09,32.24,50.11,7.01,82.24,,
,  December,71.93,43.55,61.63,27.61,98.26,Illinois,Springfield
,  July,65.09,32.24,50.11,7.01,82.24,Illinois,Springfield
,  March,66.69,38.30,56.81,20.10,92.00,Illinois,Chicago
Q3,,63.38,30.63,50.24,3.99,79.10,,
,  February,63.38,37.47,55.70,18.11,90.10,Illinois,Springfield
,  November,70.47,42.43,60.36,20.32,96.58,Illinois,Chicago
,  September,64.17,30.63,50.24,3.99,79.10,Illinois,Chicago
Q4,,64.32,34.29,54.28,14.08,89.04,,
,  August,64.32,34.29,54.28,14.08,89.04,Illinois,Chicago
,  January,69.14,41.80,58.87,20.16,92.86,Illinois,Springfield
,  October,72.46,44.32,63.64,29.61,99.49,Illinois,Chicago
