Quarter,Month,Culture_Concert,Culture_Library,Culture_Museum,Service_Administration,Service_Hospital,Service_Theatre,State,City
Q1,,28.66,69.66,13.35,46.91,81.55,18.14,,
,  February,33.53,77.17,18.18,57.90,84.99,24.38,Maryland,Aberdeen
,  January,28.66,69.66,13.35,46.91,81.55,21.52,Maryland,Aberdeen
,  July,44.47,79.29,19.85,62.70,96.52,18.14,Maryland,Aberdeen
Q3,,29.57,71.88,15.93,55.04,83.31,23.75,,
,  August,37.08,77.58,19.54,58.58,94.77,25.62,Maryland,Baltimore
,  March,29.57,71.88,15.93,55.04,83.31,23.75,Maryland,Baltimore
,  September,45.13,80.12,20.83,63.76,99.22,27.54,Maryland,Baltimore
Minimum,,28.66,69.66,13.35,46.91,81.55,18.14,,
,  ,28.66,69.66,13.35,46.91,81.55,18.14,,
