Quarter,Month,Culture_Concert,Culture_Workshop,Production_Factory,Production_Museum,State,City
Q2,,83.68,28.55,4.94,53.57,,
,  May,86.69,38.52,10.38,56.54,California,Berkeley
,  October,83.68,28.55,4.94,53.57,California,Los-Angeles
,  September,99.49,48.24,19.25,69.73,California,Los-Angeles
Q3,,84.15,32.07,5.85,53.64,,
,  August,93.15,39.30,9.80,63.05,California,Los-Angeles
,  December,99.65,49.48,24.38,76.76,California,Berkeley
,  June,84.15,32.07,5.85,53.64,California,Berkeley
Q4,,79.15,28.92,3.67,51.36,,
,  April,85.27,36.65,9.15,54.19,California,Los-Angeles
,  December,79.15,28.92,3.67,51.36,California,Berkeley
,  July,97.07,41.50,16.36,68.73,California,Berkeley
Minimum,,79.15,28.55,3.67,51.36,,
,  ,79.15,28.55,3.67,51.36,,
