Quarter,Month,Residential_Hospital,Residential_Hotel,Service_House,Service_Library,State,City
Minimum,,59.70,1.18,28.22,81.80,,
,  ,59.70,1.18,28.22,81.80,,
Q1,,67.87,4.76,32.48,84.74,,
,  April,78.85,23.40,55.40,98.94,Maryland,Columbia
,  August,67.87,4.76,32.48,84.74,Maryland,Chicago
,  March,75.57,12.68,52.37,93.98,Illinois,Baltimore
Q2,,59.70,1.18,28.22,81.80,,
,  April,59.70,1.18,28.22,81.80,Maryland,Columbia
,  January,78.66,15.13,52.32,94.97,Maryland,Chicago
,  July,69.75,10.37,35.42,89.18,Illinois,Champaign
Q3,,67.98,4.44,30.29,82.44,,
,  February,79.25,23.09,54.47,95.12,Illinois,Champaign
,  June,67.98,4.44,30.29,82.44,Illinois,Baltimore
,  September,72.37,11.26,50.92,90.94,Maryland,Columbia
