Quarter,Month,Culture_Library,Culture_Museum,Culture_School,Service_Administration,Service_Concert,State,City
Minimum,,78.66,0.70,40.03,63.80,18.95,,
,  ,78.66,0.70,40.03,63.80,18.95,,
Q1,,81.06,3.18,45.98,66.34,21.12,,
,  December,94.57,8.11,63.51,73.35,36.45,Maryland,Columbia
,  July,88.86,7.96,54.82,66.34,26.02,Massachusetts,Columbia
,  October,81.06,3.18,45.98,66.74,21.12,Maryland,Columbia
Q3,,83.84,6.77,47.99,67.79,21.66,,
,  January,83.84,6.77,47.99,67.79,21.66,Massachusetts,Baltimore
,  October,98.09,12.38,64.29,73.69,38.39,Massachusetts,Baltimore
,  September,91.49,9.44,58.80,71.82,27.68,Maryland,Baltimore
Q4,,78.66,0.70,40.03,63.80,18.95,,
,  August,91.89,7.10,60.10,71.81,30.23,Massachusetts,Boston
,  December,78.66,0.70,40.03,63.80,18.95,Massachusetts,Boston
,  March,86.48,7.90,50.93,68.43,22.35,Maryland,Boston
