Quarter,Month,Production_Hotel,Production_Library,Residential_Hospital,Residential_House,Residential_Workshop,Service_Apartment,Service_Factory,Service_School,State,City
Minimum,,68.60,38.80,16.04,63.13,87.82,52.50,81.46,3.31,,
,  ,68.60,38.80,16.04,63.13,87.82,52.50,81.46,3.31,,
Q1,,70.22,39.75,23.65,63.24,88.06,53.31,83.88,4.36,,
,  December,77.84,48.21,32.38,68.21,98.65,62.20,88.67,13.94,Minnesota,Hastings
,  February,73.87,45.54,25.30,66.04,93.09,58.77,86.18,6.58,Minnesota,Hastings
,  October,70.22,39.75,23.65,63.24,88.06,53.31,83.88,4.36,Minnesota,Hastings
Q4,,68.60,38.80,16.04,63.13,87.82,52.50,81.46,3.31,,
,  December,68.60,38.80,16.04,63.13,87.82,52.50,81.46,3.31,Minnesota,Minneapolis
,  January,76.92,46.70,24.85,63.43,96.68,60.37,87.39,10.73,Minnesota,Minneapolis
,  March,71.58,44.98,24.86,64.90,91.58,57.45,84.34,5.94,Minnesota,Minneapolis
