Quarter,Month,Culture_Factory,Culture_Hotel,Production_Theatre,Production_Workshop,Residential_Apartment,Residential_Concert,State,City
Minimum,,15.74,51.43,44.75,1.35,79.84,28.84,,
,  ,15.74,51.43,44.75,1.35,79.84,28.84,,
Q1,,18.80,63.55,47.97,3.03,86.21,33.11,,
,  August,29.03,77.61,54.74,12.76,98.82,44.05,California,Malibu
,  February,21.66,69.03,51.66,3.65,89.63,40.81,California,Berkeley
,  October,18.80,63.55,47.97,3.03,86.21,33.11,California,Malibu
Q3,,15.74,51.43,45.52,1.35,79.84,28.84,,
,  December,19.68,66.94,45.52,4.20,86.54,34.98,California,Berkeley
,  July,15.74,51.43,45.85,1.35,79.84,28.84,California,Malibu
,  March,20.93,70.07,51.00,10.74,92.92,41.81,California,Malibu
Q4,,16.14,61.19,44.75,2.25,83.27,32.77,,
,  August,16.14,61.19,44.75,2.25,83.27,32.77,California,Berkeley
,  January,20.03,67.49,49.63,5.03,89.67,33.54,California,Malibu
,  July,28.87,70.98,52.83,10.52,95.97,43.64,California,Berkeley
