Quarter,Month,Culture_Concert,Culture_Hotel,Culture_Museum,Residential_Apartment,Residential_House,Residential_Theatre,Minimum,State,City
Q1,,1.43,63.28,26.70,90.48,45.61,7.20,1.43,,
,  January,1.43,63.28,26.70,90.48,45.61,7.20,1.43,Minnesota,Hastings
,  June,4.03,77.86,37.44,93.94,50.89,8.75,4.03,Minnesota,Hastings
,  September,7.80,83.60,41.66,96.22,57.89,17.91,7.80,Minnesota,Hastings
Q2,,1.95,74.23,30.89,90.13,46.24,11.89,1.95,,
,  April,1.95,79.71,40.39,94.71,49.13,12.77,1.95,Minnesota,Hastings
,  February,2.91,74.23,30.89,90.13,46.24,11.89,2.91,Minnesota,Hastings
,  January,8.12,86.41,43.40,91.91,61.14,25.78,8.12,Minnesota,Hastings
Q3,,2.87,75.44,34.54,92.73,49.32,10.03,2.87,,
,  August,5.29,82.22,40.86,95.58,52.65,17.09,5.29,Minnesota,Hastings
,  February,9.69,86.30,42.85,94.79,62.46,25.94,9.69,Minnesota,Hastings
,  May,2.87,75.44,34.54,92.73,49.32,10.03,2.87,Minnesota,Hastings
