Quarter,Month,Culture_Concert,Culture_Factory,Culture_School,Production_Library,Production_Museum,Production_Workshop,Service_Administration,Service_Theatre,Minimum,State,City
Q1,,3.87,49.17,84.82,73.96,17.96,0.21,73.25,31.40,0.21,,
,  April,7.45,63.20,91.30,73.96,28.63,73.27,73.25,44.42,7.45,Oregon,Portland
,  February,6.86,55.40,84.82,97.81,81.69,68.14,79.81,40.83,6.86,Oregon,Salem
,  November,3.87,49.17,85.28,85.88,17.96,0.21,76.62,31.40,0.21,Oregon,Portland
Q2,,4.90,52.55,84.96,76.17,21.94,68.65,74.21,32.86,4.90,,
,  March,4.90,52.55,84.96,95.17,21.94,68.65,74.21,32.86,4.90,Oregon,Salem
,  May,6.16,60.44,89.71,99.02,25.86,71.92,80.42,42.55,6.16,Oregon,Portland
,  October,11.72,64.17,90.89,76.17,29.05,73.95,78.95,46.30,11.72,Oregon,Salem
Q4,,2.41,44.48,68.99,72.20,16.06,65.20,75.47,27.23,2.41,,
,  January,6.49,53.77,68.99,97.18,21.89,69.89,76.97,34.54,6.49,Oregon,Portland
,  June,8.48,60.94,89.26,72.20,27.89,72.36,79.03,44.13,8.48,Oregon,Salem
,  October,2.41,44.48,84.21,93.64,16.06,65.20,75.47,27.23,2.41,Oregon,Salem
