Quarter,Month,Culture_House,Culture_Museum,Culture_School,Residential_Hotel,Residential_Theatre,Service_Administration,Service_Concert,Minimum,State,City
Q1,,87.39,5.18,56.64,77.46,40.08,67.84,22.16,5.18,,
,  August,87.39,5.18,56.64,77.46,40.08,67.91,22.16,5.18,Illinois,Champaign
,  January,91.85,14.78,58.93,81.98,44.62,67.84,26.80,14.78,Illinois,Champaign
,  July,97.61,80.34,59.18,83.53,51.55,72.84,33.34,33.34,Illinois,Champaign
Q2,,82.36,1.04,55.73,77.51,38.48,67.25,23.16,1.04,,
,  April,82.36,10.63,58.67,80.58,43.08,68.83,26.34,10.63,Illinois,Champaign
,  March,97.52,19.69,60.60,81.65,49.12,72.45,32.73,19.69,Illinois,Champaign
,  September,84.84,1.04,55.73,77.51,38.48,67.25,23.16,1.04,Illinois,Champaign
Q3,,83.29,0.67,54.49,69.62,32.06,62.91,22.60,0.67,,
,  February,94.97,16.69,57.25,82.78,45.97,68.20,28.35,16.69,Illinois,Champaign
,  July,85.44,0.67,54.49,69.62,32.06,62.91,22.60,0.67,Illinois,Champaign
,  May,83.29,7.37,55.21,77.10,42.31,69.25,23.05,7.37,Illinois,Champaign
Minimum,,82.36,0.67,54.49,69.62,32.06,62.91,22.16,0.67,,
,  ,82.36,0.67,54.49,69.62,32.06,62.91,22.16,0.67,,
