Quarter,Month,Production_Apartment,Production_House,Production_Workshop,Residential_Factory,Residential_Hotel,Minimum,State,City
Q1,,45.02,80.39,5.71,21.23,67.82,5.71,,
,  April,62.15,98.20,16.82,31.67,74.49,16.82,Massachusetts,Tampa
,  February,53.44,88.73,9.64,25.79,72.93,9.64,Florida,Tampa
,  July,45.02,80.39,5.71,21.23,67.82,5.71,Massachusetts,Tampa
Q2,,40.62,76.30,0.34,17.34,62.55,0.34,,
,  January,60.00,90.04,9.52,27.65,73.55,9.52,Massachusetts,Cambridge
,  May,40.62,76.30,0.34,17.34,62.55,0.34,Massachusetts,Cambridge
,  September,46.47,83.50,6.26,22.09,68.89,6.26,Florida,Cambridge
Q3,,44.33,79.74,4.19,20.15,62.48,4.19,,
,  April,44.33,79.74,4.19,20.15,62.48,4.19,Florida,Boston
,  August,45.14,87.59,9.06,23.52,69.40,9.06,Massachusetts,Boston
,  May,61.61,98.14,15.22,28.08,74.45,15.22,Florida,Boston
Minimum,,40.62,76.30,0.34,17.34,62.48,0.34,,
,  ,40.62,76.30,0.34,17.34,62.48,0.34,,
