Quarter,Month,Culture_Apartment,Culture_Factory,Production_Theatre,Production_Workshop,Residential_Hotel,Residential_Museum
Q1,April,17.71,63.70,25.51,79.79,5.28,46.46
,February,17.13,67.21,37.54,88.32,6.75,54.43
,May,23.77,74.45,40.06,98.31,11.48,59.44
Q2,March,23.90,72.43,37.46,96.03,5.73,58.64
,May,12.50,60.65,26.91,75.15,3.81,42.15
,September,18.96,62.17,30.79,85.89,6.90,48.17
Q3,August,18.08,65.91,34.66,87.80,6.33,50.13
,January,24.60,74.37,39.56,97.99,3.05,59.73
,June,14.60,59.45,24.26,75.96,3.12,43.44
Minimum,,12.50,59.45,24.26,75.15,3.05,42.15
