Type of building,Usage,Quarter,Month,Value
Type_of_building,Usage,Quarter,Month,Value
Service,Administration,Q3,August,1.24
Service,Administration,Q4,July,2.72
Service,Administration,Q1,December,1.55
Service,Administration,Q3,November,4.6
Service,Administration,Q4,October,5.49
Service,Administration,Q1,February,18.66
Service,Administration,Q3,March,20.95
Service,Administration,Q4,August,22.6
Service,Administration,Q1,July,24.14
Residential,Hospital,Q3,August,24.69
Residential,Hospital,Q4,July,26.99
Residential,Hospital,Q1,December,27.9
Residential,Hospital,Q3,November,32.92
Residential,Hospital,Q4,October,33.19
Residential,Hospital,Q1,February,35.81
Residential,Hospital,Q3,March,37.64
Residential,Hospital,Q4,August,39.74
Residential,Hospital,Q1,July,40.62
Culture,House,Q3,August,43.3
Culture,House,Q4,July,47.82
Culture,House,Q1,December,48.46
Culture,House,Q3,November,48.08
Culture,House,Q4,October,51.83
Culture,House,Q1,February,52.05
Culture,House,Q3,March,52.79
Culture,House,Q4,August,54.95
Culture,House,Q1,July,55.56
Service,Apartment,Q3,August,56.67
Service,Apartment,Q4,July,57.78
Service,Apartment,Q1,December,57.68
Service,Apartment,Q3,November,60.8
Service,Apartment,Q4,October,61.89
Service,Apartment,Q1,February,62.19
Service,Apartment,Q3,March,60.94
Service,Apartment,Q4,August,61.68
Service,Apartment,Q1,July,66.56
Residential,Concert,Q3,August,67.47
Residential,Concert,Q4,July,68.4
Residential,Concert,Q1,December,68.74
Residential,Concert,Q3,November,70.97
Residential,Concert,Q4,October,69.35
Residential,Concert,Q1,February,73.86
Residential,Concert,Q3,March,73.56
Residential,Concert,Q4,August,76.17
Residential,Concert,Q1,July,77.03
Culture,Theatre,Q3,August,78.99
Culture,Theatre,Q4,July,77.18
Culture,Theatre,Q1,December,80.78
Culture,Theatre,Q3,November,80.09
Culture,Theatre,Q4,October,77.72
Culture,Theatre,Q1,February,83.37
Culture,Theatre,Q3,March,84.64
Culture,Theatre,Q4,August,84.84
Culture,Theatre,Q1,July,84.43
Service,Museum,Q3,August,84.93
Service,Museum,Q4,July,83.88
Service,Museum,Q1,December,85.47
Service,Museum,Q3,November,90.43
Service,Museum,Q4,October,92.87
Service,Museum,Q1,February,92.15
Service,Museum,Q3,March,96.57
Service,Museum,Q4,August,99.79
Service,Museum,Q1,July,99.1
