Characteristic,Intensity,2017_Florida_Fort Lauderdale,2017_Oregon_Redmond,2018_Florida_Portland,2018_Oregon_Tampa,2020_Florida_Salem,Maximum
Humidity,21-30,2.61,21.20,11.93,11.05,14.81,21.20
,Calm,3.69,8.97,15.61,15.40,23.04,23.04
,Medium,9.42,10.70,1.97,18.61,27.83,27.83
Temperature,11-20,1.40,24.23,10.01,10.40,17.49,24.23
,Breeze,2.46,6.98,12.69,10.21,22.80,22.80
,High,3.73,8.50,16.18,8.32,25.10,25.10
Wind,0-10,2.99,25.34,1.20,9.59,20.94,25.34
,Low,8.93,3.53,16.31,14.29,23.80,23.80
,Storm,1.82,27.37,12.07,14.84,23.97,27.37
Maximum,,9.42,27.37,16.31,18.61,27.83,27.83
