Characteristic,Intensity,2015_Illinois_Boston,2015_Illinois_Salem,2021_Massachusetts_Cambridge,2021_Massachusetts_Springfield,2022_Oregon_Champaign,2022_Oregon_Lenox,2022_Oregon_Portland,Maximum
Humidity,31-40,9.81,7.19,0.46,19.99,27.87,6.47,1.21,27.87
,Calm,11.81,12.21,1.89,25.36,25.00,0.33,7.72,25.36
,Low,11.88,13.19,3.54,19.85,22.93,7.71,4.75,22.93
Temperature,11-20,8.55,8.77,13.24,18.10,23.43,18.89,0.34,23.43
,High,10.24,12.61,1.54,21.74,25.53,6.05,3.10,25.53
,Storm,11.58,15.93,17.47,24.83,5.41,2.84,5.31,24.83
Wind,11-20,12.31,17.88,18.57,24.25,27.39,25.02,8.80,27.39
,Breeze,11.70,14.32,16.73,23.00,26.09,21.45,5.87,26.09
,Medium,10.75,8.76,1.79,20.04,22.28,19.18,2.06,22.28
Maximum,,12.31,17.88,18.57,25.36,27.87,25.02,8.80,27.87
