Characteristic,Intensity,2018_California_Malibu,2018_Florida_Boston,2018_Florida_San Francisco,2018_Massachusetts_Tampa,2020_California_Lenox,2020_Florida_Fort Lauderdale,2020_Massachusetts_Berkeley,2020_Massachusetts_Cambridge,Maximum
Humidity,21-30,11.70,7.49,2.23,25.11,21.79,8.16,1.47,3.18,25.11
,Low,10.10,8.05,19.04,24.24,13.05,7.52,16.29,0.76,24.24
,Storm,25.51,15.87,23.32,26.74,24.15,9.10,18.68,3.35,26.74
Temperature,31-40,26.02,13.68,21.26,23.04,22.56,8.55,17.89,4.74,26.02
,Breeze,13.16,15.91,24.36,27.28,25.85,3.36,6.54,6.69,27.28
,High,24.73,9.06,21.40,25.37,19.62,6.15,4.96,1.91,25.37
Wind,0-10,11.26,8.89,2.40,27.97,19.67,0.25,17.16,0.97,27.97
,Calm,5.09,14.44,22.28,26.57,23.05,9.71,17.20,5.70,26.57
,Low,15.42,15.43,25.42,27.62,25.14,24.10,6.30,8.66,27.62
Maximum,,26.02,15.91,25.42,27.97,25.85,24.10,18.68,8.66,27.97
