Characteristic,Intensity,2016_Oregon_Boulder City,2016_Oregon_Fort Lauderdale,2016_Oregon_Redmond,2017_Nevada_Las Vegas,2017_Nevada_Tampa,2019_Florida_Portland,2019_Florida_Reno
Humidity,21-30,21.04,25.16,7.72,17.26,25.54,9.40,11.86
,Breeze,7.13,6.01,2.87,3.12,22.15,13.78,9.22
,Low,18.42,20.40,1.32,13.31,19.24,10.58,6.33
Temperature,31-40,21.60,25.12,2.66,17.86,23.83,7.69,10.97
,High,19.34,21.58,3.14,4.33,21.67,12.60,8.48
,Medium,24.65,7.24,9.45,18.93,21.69,13.93,13.15
Wind,Low,2.59,27.32,8.25,27.21,22.50,17.92,0.22
,Medium,18.46,21.63,2.25,1.83,19.93,9.33,8.93
,Storm,20.33,5.09,5.55,17.65,23.37,14.62,3.93
Maximum,,24.65,27.32,9.45,27.21,25.54,17.92,13.15
