Characteristic,Intensity,2015_Maryland_Baltimore,2015_Maryland_Lenox,2017_Minnesota_Aberdeen,2017_Minnesota_Boston,2017_Minnesota_Rochester,2021_Massachusetts_Cambridge,2021_Massachusetts_Columbia,2021_Massachusetts_Hastings
Humidity,,26.38,24.31,17.01,25.91,7.57,26.45,23.68,16.72
,  0-10,15.82,24.31,1.43,5.99,7.57,3.28,23.68,16.72
,  Calm,26.38,19.63,16.14,19.21,0.93,26.45,7.22,10.59
,  High,3.99,18.20,17.01,25.91,1.96,2.44,21.58,13.64
Temperature,,15.61,25.59,18.57,26.17,8.92,27.00,24.50,15.22
,  21-30,14.38,23.92,18.57,6.82,5.41,27.00,21.38,13.57
,  Breeze,15.61,25.59,6.20,26.17,8.92,0.53,24.50,15.22
,  Storm,1.03,20.72,16.95,24.06,2.95,8.82,20.57,11.42
Wind,,26.14,24.59,17.59,26.15,6.03,8.05,26.62,15.92
,  31-40,14.29,24.59,6.64,24.28,6.03,3.36,26.62,15.92
,  Breeze,26.14,16.48,4.58,21.59,0.89,7.74,19.07,8.57
,  Medium,12.55,21.64,17.59,26.15,3.75,8.05,21.87,12.37
