Characteristic,Intensity,2017_Massachusetts_Boston,2017_Massachusetts_Lenox,2017_Massachusetts_Portland,2018_Oregon_Cambridge,2018_Oregon_Redmond
Humidity,,25.60,4.61,18.08,16.17,27.88
,  21-30,19.30,1.06,3.60,9.83,25.92
,  Medium,14.03,4.61,15.66,13.55,27.88
,  Storm,25.60,2.19,18.08,16.17,26.90
Temperature,,24.05,2.76,12.25,15.43,27.44
,  11-20,17.34,0.14,6.43,9.39,27.44
,  Calm,24.05,1.04,4.99,15.43,25.71
,  High,15.76,2.76,12.25,8.14,24.72
Wind,,26.89,3.29,27.74,17.29,27.66
,  0-10,20.09,1.22,11.54,11.31,27.66
,  11-20,26.89,1.46,27.74,17.29,5.27
,  Low,23.41,3.29,16.78,14.19,24.70
