Characteristic,Intensity,2018_Georgia_Columbus,2018_Oregon_Redmond,2019_Georgia_Portland,2021_Oregon_Albany
Humidity,,19.61,11.21,19.49,26.54
,  Breeze,19.61,11.21,19.49,22.55
,  Medium,14.40,8.44,17.96,26.54
,  Storm,12.73,5.54,13.21,18.17
Temperature,,24.19,10.75,19.23,27.56
,  0-10,14.72,7.06,16.61,18.84
,  Calm,24.19,3.32,13.59,19.34
,  Low,19.84,10.75,19.23,27.56
Wind,,24.73,9.60,18.34,27.77
,  31-40,14.92,4.70,15.36,21.01
,  Breeze,24.73,3.65,12.55,21.00
,  High,18.44,9.60,18.34,27.77
Maximum,,24.73,11.21,19.49,27.77
,  ,24.73,11.21,19.49,27.77
