Characteristic,Intensity,2019_Florida_Tampa,2019_Illinois_Boulder City,2019_Nevada_Chicago,2019_Nevada_Las Vegas,2020_Florida_Reno,2020_Illinois_Springfield,2020_Nevada_Fort Lauderdale
Humidity,,25.67,16.99,19.60,4.76,6.34,24.86,22.94
,  High,25.67,14.43,18.58,1.01,3.75,6.00,20.69
,  Low,24.70,10.85,4.98,0.29,6.34,24.86,18.83
,  Storm,5.00,16.99,19.60,4.76,6.01,10.29,22.94
Wind,,25.40,15.70,19.19,3.99,11.00,12.78,23.63
,  Breeze,25.19,15.70,19.19,3.35,9.01,9.73,17.01
,  Calm,25.40,14.13,4.25,3.99,11.00,12.78,23.63
,  Medium,24.59,13.15,4.28,0.99,7.24,5.25,18.33
Maximum,,25.67,16.99,19.60,4.76,11.00,24.86,23.63
,  ,25.67,16.99,19.60,4.76,11.00,24.86,23.63
