Characteristic,Intensity,2019_Florida_Fort Lauderdale,2019_Florida_Minneapolis,2019_Florida_Rochester,2022_Minnesota_Hastings,2022_Minnesota_Tampa
Maximum,,7.70,21.27,25.89,27.36,16.49
,  ,7.70,21.27,25.89,27.36,16.49
Humidity,,2.87,21.27,25.75,22.55,16.34
,  0-10,2.87,13.43,18.30,22.55,5.09
,  Breeze,2.84,21.27,25.75,11.80,16.34
,  Medium,2.51,4.49,23.69,6.32,11.09
Temperature,,7.70,21.15,25.89,26.66,16.49
,  Breeze,1.03,12.02,17.07,24.54,10.76
,  Low,2.55,15.39,22.43,26.66,12.45
,  Storm,7.70,21.15,25.89,9.99,16.49
Wind,,4.83,14.39,23.78,27.36,15.77
,  21-30,3.80,14.39,15.69,22.44,12.26
,  High,4.83,6.30,23.78,2.10,15.77
,  Storm,0.24,12.28,18.45,27.36,9.87
