Year,State,City,Characteristic,Intensity,Value
Year,State,City,Characteristic,Intensity,Value
2017,Massachusetts,Cambridge,Humidity,Low,0.4
2017,Massachusetts,Cambridge,Wind,High,0.26
2017,Massachusetts,Cambridge,Humidity,Breeze,2.02
2017,Massachusetts,Cambridge,Wind,Calm,3.44
2017,Massachusetts,Cambridge,Humidity,Storm,4.53
2017,Massachusetts,Cambridge,Wind,Low,4.02
2018,California,Boston,Humidity,Low,6.08
2018,California,Boston,Wind,High,7.28
2018,California,Boston,Humidity,Breeze,8.66
2018,California,Boston,Wind,Calm,9.48
2018,California,Boston,Humidity,Storm,9.03
2018,California,Boston,Wind,Low,11.85
2021,Georgia,Lenox,Humidity,Low,12.32
2021,Georgia,Lenox,Wind,High,12.72
2021,Georgia,Lenox,Humidity,Breeze,14.14
2021,Georgia,Lenox,Wind,Calm,15.39
2021,Georgia,Lenox,Humidity,Storm,16.66
2021,Georgia,Lenox,Wind,Low,17.98
2017,Massachusetts,San Francisco,Humidity,Low,17.13
2017,Massachusetts,San Francisco,Wind,High,19.45
2017,Massachusetts,San Francisco,Humidity,Breeze,17.09
2017,Massachusetts,San Francisco,Wind,Calm,17.06
2017,Massachusetts,San Francisco,Humidity,Storm,17.63
2017,Massachusetts,San Francisco,Wind,Low,23.04
2018,California,Malibu,Humidity,Low,17.53
2018,California,Malibu,Wind,High,24.25
2018,California,Malibu,Humidity,Breeze,26.73
2018,California,Malibu,Wind,Calm,26.76
2018,California,Malibu,Humidity,Storm,25.39
2018,California,Malibu,Wind,Low,25.48
2021,Georgia,Albany,Humidity,Low,22.96
2021,Georgia,Albany,Wind,High,24.42
2021,Georgia,Albany,Humidity,Breeze,7.27
2021,Georgia,Albany,Wind,Calm,9.09
2021,Georgia,Albany,Humidity,Storm,10.65
2021,Georgia,Albany,Wind,Low,10.14
2017,Massachusetts,Washington,Humidity,Low,10.23
2017,Massachusetts,Washington,Wind,High,11.21
2017,Massachusetts,Washington,Humidity,Breeze,2.25
2017,Massachusetts,Washington,Wind,Calm,12.17
2017,Massachusetts,Washington,Humidity,Storm,12.86
2017,Massachusetts,Washington,Wind,Low,0.23
2018,California,Columbus,Humidity,Low,13.83
2018,California,Columbus,Wind,High,15.84
2018,California,Columbus,Humidity,Breeze,16.1
2018,California,Columbus,Wind,Calm,17.15
2018,California,Columbus,Humidity,Storm,17.66
2018,California,Columbus,Wind,Low,18.57
