Characteristic,Intensity,2019_California_Hastings,2019_Maryland_Columbia,2019_Maryland_Los-Angeles,2019_Minnesota_Berkeley,2021_California_Malibu,2021_Maryland_Rochester,2021_Minnesota_Baltimore,Maximum
Humidity,,25.76,8.06,23.00,11.97,20.88,24.91,17.38,25.76
,  31-40,25.76,8.06,23.00,11.97,20.88,4.65,17.38,25.76
,  Calm,20.79,0.55,2.32,1.77,16.01,21.74,7.57,21.74
,  Low,23.96,4.06,22.32,0.95,19.02,24.91,14.57,24.91
Temperature,,24.98,3.89,22.99,10.14,19.42,27.40,12.37,27.40
,  31-40,18.74,0.25,7.12,7.42,14.11,27.40,9.09,27.40
,  Medium,24.98,1.20,2.84,10.14,19.42,25.30,12.37,25.30
,  Storm,21.19,3.89,22.99,9.94,19.37,23.25,12.26,23.25
Wind,,24.25,5.52,23.03,10.80,19.19,26.75,15.15,26.75
,  21-30,19.30,1.69,20.36,7.24,15.92,26.75,10.51,26.75
,  Breeze,15.61,3.39,22.95,3.78,19.19,6.15,12.22,22.95
,  High,24.25,5.52,23.03,10.80,7.45,26.30,15.15,26.30
