Characteristic,Intensity,2019_Nevada_Boulder City,2019_Nevada_Columbia,2019_Nevada_Reno,2022_Maryland_Aberdeen,2022_Maryland_Baltimore,2022_Maryland_Las Vegas,Maximum
Humidity,,8.34,16.54,26.29,27.06,24.46,18.03,27.06
,  0-10,2.14,11.73,21.64,27.05,4.87,12.41,27.05
,  Breeze,8.34,16.54,26.29,8.25,24.46,18.03,26.29
,  Low,4.81,13.65,24.66,27.06,7.79,14.35,27.06
Temperature,,8.95,13.67,26.87,25.25,23.78,14.65,26.87
,  Breeze,2.95,1.20,19.65,25.25,16.13,11.80,25.25
,  High,5.47,13.67,23.96,24.48,5.79,14.65,24.48
,  Storm,8.95,3.79,26.87,5.34,23.78,2.75,26.87
Wind,,7.13,14.02,25.16,27.70,23.98,14.03,27.70
,  31-40,4.54,12.91,22.11,27.70,5.71,11.92,27.70
,  Medium,7.13,14.02,25.16,6.51,23.98,14.03,25.16
,  Storm,1.23,0.04,18.87,27.48,16.08,10.69,27.48
