Characteristic,Intensity,2015_Florida_Flint,2015_Florida_Fort Lauderdale,2015_Florida_Los-Angeles,2019_California_Detroit,2019_California_San Francisco,2020_Michigan_Berkeley,2020_Michigan_Tampa,Maximum
Humidity,,27.32,8.53,24.23,24.39,18.22,27.01,14.32,27.32
,  0-10,4.65,8.53,24.23,24.39,18.22,14.58,10.29,24.39
,  High,24.48,5.16,22.44,21.53,16.14,27.01,14.32,27.01
,  Storm,27.32,1.89,20.67,16.27,14.70,9.14,8.07,27.32
Temperature,,27.27,7.44,23.38,27.66,19.88,14.34,18.19,27.66
,  11-20,25.13,6.20,23.38,24.07,4.37,13.46,14.86,25.13
,  Calm,27.27,7.44,4.51,27.66,19.88,14.34,18.19,27.66
,  Low,26.54,1.99,22.97,21.88,15.26,11.40,8.02,26.54
Wind,,27.75,7.01,23.49,25.46,17.06,13.33,16.88,27.75
,  21-30,27.75,7.01,23.49,25.46,17.06,13.33,16.88,27.75
,  Calm,24.56,1.93,20.83,15.60,14.24,8.45,10.61,24.56
,  Medium,6.24,4.60,22.71,22.47,15.48,12.37,13.50,22.71
Maximum,,27.75,8.53,24.23,27.66,19.88,27.01,18.19,27.75
,  ,27.75,8.53,24.23,27.66,19.88,27.01,18.19,27.75
