Characteristic,Intensity,2015_Florida_Champaign,2015_Florida_Fort Lauderdale,2019_Georgia_Springfield,2019_Georgia_Washington,2020_Illinois_Columbus,2020_Illinois_Tampa
Humidity,,25.16,21.32,22.40,7.53,16.97,18.81
,  31-40,25.16,3.14,12.53,7.53,16.97,18.81
,  Breeze,19.96,7.62,22.40,1.77,9.00,0.63
,  Medium,16.79,21.32,22.17,4.63,13.95,17.09
Temperature,,23.24,22.62,24.90,8.77,17.61,19.56
,  21-30,3.84,22.62,0.11,5.10,11.69,17.04
,  Calm,12.74,20.37,24.90,2.42,11.46,2.38
,  Storm,23.24,3.83,3.74,8.77,17.61,19.56
Wind,,24.23,20.13,26.69,6.34,15.93,18.70
,  11-20,24.23,3.98,24.26,6.34,15.93,18.70
,  High,21.34,20.13,24.48,1.31,12.59,2.95
,  Storm,18.62,19.99,26.69,0.99,8.58,13.40
