Characteristic,Intensity,2018_Illinois_Las Vegas,2018_Illinois_Rochester,2018_Minnesota_Springfield,2018_Nevada_Champaign,2019_Illinois_Chicago,2019_Minnesota_Boulder City,2019_Minnesota_Hastings,2019_Nevada_Minneapolis,2019_Nevada_Reno
Humidity,,17.26,15.81,27.65,22.47,27.52,25.08,6.03,24.03,25.48
,  0-10,2.52,12.11,26.58,20.97,9.07,7.83,3.99,21.15,25.48
,  High,7.09,9.08,27.65,19.21,27.52,25.08,0.53,17.33,22.66
,  Storm,17.26,15.81,26.41,22.47,10.29,13.72,6.03,24.03,13.17
Temperature,,18.70,16.79,27.58,24.61,16.00,9.01,6.44,25.51,26.02
,  11-20,11.95,11.53,26.33,4.25,3.36,9.01,3.26,18.73,26.02
,  Breeze,18.70,16.79,26.53,24.61,16.00,4.69,6.44,25.51,4.39
,  Low,7.34,10.43,27.58,7.36,6.57,0.76,1.84,19.94,23.70
Wind,,19.41,17.13,27.96,24.83,18.89,10.62,8.73,26.57,24.51
,  21-30,8.09,7.06,21.32,20.03,8.04,5.90,2.94,19.73,24.51
,  Calm,17.49,7.74,24.20,22.58,10.96,10.62,5.94,20.31,7.10
,  High,19.41,17.13,27.96,24.83,18.89,7.12,8.73,26.57,5.14
