Characteristic,Intensity,2016_Michigan_Baltimore,2016_Michigan_Port Huron,2016_Michigan_Washington,2021_Maryland_Aberdeen,2021_Maryland_Columbus,2021_Maryland_Flint,2022_Georgia_Albany,2022_Georgia_Columbia,2022_Georgia_Detroit
Humidity,,10.96,27.76,16.92,4.96,12.04,22.16,22.88,16.25,27.96
,  11-20,10.96,27.76,16.92,4.96,12.04,22.16,22.88,16.25,27.96
,  High,8.83,26.55,14.77,1.61,9.21,20.07,21.76,14.65,6.07
,  Medium,6.91,22.85,12.80,0.43,7.92,16.56,6.53,12.14,21.47
Temperature,,11.55,26.41,18.78,5.01,12.72,20.79,6.22,17.88,25.51
,  21-30,9.54,26.41,15.29,3.82,9.64,20.79,2.47,15.09,25.51
,  Low,6.71,17.81,13.38,1.20,9.88,17.82,6.22,10.83,6.02
,  Medium,11.55,5.41,18.78,5.01,12.72,20.26,2.34,17.88,1.50
Maximum,,11.55,27.76,18.78,5.01,12.72,22.16,22.88,17.88,27.96
,  ,11.55,27.76,18.78,5.01,12.72,22.16,22.88,17.88,27.96
