Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2022,Humidity,Low,6.96
2022,Temperature,Medium,8.61
2022,Wind,31-40,12.33
2022,Humidity,21-30,14.8
2022,Temperature,Breeze,15.2
2022,Wind,Storm,16.05
2022,Humidity,Calm,17.93
2022,Temperature,Low,17.97
2022,Wind,Medium,20.36
2017,Humidity,Low,20.72
2017,Temperature,Medium,23.57
2017,Wind,31-40,23.66
2017,Humidity,21-30,24.38
2017,Temperature,Breeze,25.07
2017,Wind,Storm,22.76
2017,Humidity,Calm,20.96
2017,Temperature,Low,20.1
2017,Wind,Medium,25.42
