Characteristic,Intensity,2016_Florida_Baltimore,2016_Florida_Fort Lauderdale,2022_Maryland_Aberdeen,2022_Maryland_Columbia,2022_Maryland_Tampa,Maximum
Humidity,,13.54,26.93,8.89,18.57,22.47,26.93
,  11-20,13.54,26.93,8.89,18.23,6.94,26.93
,  21-30,6.58,17.09,3.80,11.46,22.47,22.47
,  High,12.73,24.87,4.03,18.57,14.07,24.87
Temperature,,13.63,21.86,7.13,18.70,27.84,27.84
,  11-20,8.53,12.27,3.78,12.97,27.84,27.84
,  Low,13.63,19.20,7.13,18.70,4.63,19.20
,  Medium,11.68,21.86,3.02,17.61,8.34,21.86
Maximum,,13.63,26.93,8.89,18.70,27.84,27.84
,  ,13.63,26.93,8.89,18.70,27.84,27.84
