Characteristic,Intensity,2015_Georgia_Columbus,2015_Georgia_Detroit,2015_Georgia_Las Vegas,2018_Michigan_Albany,2018_Michigan_Boulder City,2021_Nevada_Flint,2021_Nevada_Reno,2021_Nevada_Washington,Maximum
Humidity,,24.80,16.45,11.55,12.93,17.90,15.71,5.48,21.97,24.80
,  0-10,24.80,16.45,5.70,6.90,13.42,12.34,1.42,19.96,24.80
,  Low,22.12,4.13,6.37,8.53,14.83,14.77,3.59,21.97,22.12
,  Medium,0.18,0.49,11.55,12.93,17.90,15.71,5.48,21.67,21.67
Temperature,,25.28,16.66,9.33,25.68,16.14,15.45,4.51,21.89,25.68
,  21-30,17.82,16.48,6.44,7.77,13.25,0.16,2.33,14.99,17.82
,  31-40,22.42,16.66,6.94,25.68,11.00,12.27,0.39,13.16,25.68
,  High,25.28,3.65,9.33,2.61,16.14,15.45,4.51,21.89,25.28
Maximum,,25.28,16.66,11.55,25.68,17.90,15.71,5.48,21.97,25.68
,  ,25.28,16.66,11.55,25.68,17.90,15.71,5.48,21.97,25.68
