Characteristic,Intensity,2015_Nevada_Portland,2015_Oregon_Las Vegas,2019_Nevada_Boulder City,2021_Nevada_Reno,2021_Oregon_Redmond,Maximum
Humidity,,18.74,16.01,23.02,6.21,25.83,25.83
,  11-20,1.51,16.01,23.02,6.21,3.43,23.02
,  Calm,18.74,12.86,22.32,2.76,24.97,24.97
,  Low,15.98,5.76,19.91,0.13,25.83,25.83
Temperature,,17.67,18.32,26.79,8.50,26.31,26.79
,  21-30,2.23,15.10,24.52,4.54,3.66,24.52
,  High,1.82,18.32,26.79,8.50,15.99,26.79
,  Medium,17.67,6.56,21.88,2.81,26.31,26.31
Wind,,21.31,16.64,26.59,4.40,27.83,27.83
,  Breeze,21.31,14.97,21.73,4.40,27.83,27.83
,  High,17.63,9.86,20.45,1.39,23.76,23.76
,  Low,0.99,16.64,26.59,3.07,15.12,26.59
Maximum,,21.31,18.32,26.79,8.50,27.83,27.83
,  ,21.31,18.32,26.79,8.50,27.83,27.83
