Characteristic,Intensity,2018_Florida_Cambridge,2020_Massachusetts_Fort Lauderdale,2022_Florida_Tampa,2022_Massachusetts_Lenox
Humidity,,22.28,16.85,7.12,15.18
,  31-40,20.13,9.32,2.83,3.16
,  Breeze,18.32,14.42,5.60,10.38
,  High,22.28,16.85,7.12,15.18
Temperature,,20.46,15.65,2.93,27.40
,  0-10,18.84,9.95,0.98,27.40
,  Calm,20.46,12.41,2.93,9.83
,  Low,18.68,15.65,0.73,0.22
Wind,,24.67,16.39,7.86,27.07
,  21-30,19.32,9.69,1.95,27.07
,  Medium,24.67,16.39,7.86,13.62
,  Storm,18.37,13.88,4.34,10.81
Maximum,,24.67,16.85,7.86,27.40
,  ,24.67,16.85,7.86,27.40
