Characteristic,Intensity,2015_Maryland_Columbia,2015_Maryland_Hastings,2015_Maryland_Port Huron,2019_Minnesota_Baltimore,2019_Minnesota_Flint,2019_Minnesota_Minneapolis,2021_Michigan_Aberdeen,2021_Michigan_Detroit,2021_Michigan_Rochester
Humidity,,24.70,22.60,26.51,18.26,14.59,20.08,12.73,7.79,27.71
,  0-10,24.70,22.60,20.78,15.20,11.49,12.14,0.58,1.50,27.71
,  Calm,4.39,13.69,26.51,18.26,9.16,20.08,12.73,7.79,9.64
,  High,9.49,2.94,22.71,3.20,14.59,16.75,9.73,4.66,25.94
Temperature,,23.73,13.83,25.72,16.74,13.97,11.46,11.45,7.86,27.17
,  31-40,23.73,2.47,19.09,12.80,5.38,11.46,3.55,1.36,27.17
,  Medium,2.10,8.51,20.64,15.77,11.80,3.75,8.05,4.23,25.52
,  Storm,3.71,13.83,25.72,16.74,13.97,7.29,11.45,7.86,26.72
Wind,,5.78,15.12,27.93,21.26,14.05,20.50,12.84,5.04,25.17
,  31-40,5.78,15.12,27.93,21.26,12.58,20.50,12.84,5.04,9.86
,  Breeze,1.71,10.76,19.16,16.38,14.05,3.50,10.98,4.14,25.17
,  Low,3.42,7.58,21.42,15.91,12.13,12.07,7.66,3.36,22.09
Maximum,,24.70,22.60,27.93,21.26,14.59,20.50,12.84,7.86,27.71
,  ,24.70,22.60,27.93,21.26,14.59,20.50,12.84,7.86,27.71
