Characteristic,Intensity,2015_Georgia_Columbus,2015_Georgia_Minneapolis,2015_Georgia_Port Huron,2017_Minnesota_Flint,2017_Minnesota_Rochester,2017_Minnesota_Washington,2022_Michigan_Albany,2022_Michigan_Detroit,2022_Michigan_Hastings
Maximum,,25.51,11.18,17.66,15.56,5.16,23.89,26.53,23.72,16.09
,  ,25.51,11.18,17.66,15.56,5.16,23.89,26.53,23.72,16.09
Humidity,,24.68,8.34,15.09,15.49,4.99,21.41,26.53,23.72,15.84
,  0-10,22.02,6.87,4.87,15.49,4.99,21.41,25.29,23.72,15.84
,  High,24.68,6.61,15.09,11.93,0.48,14.46,25.03,18.45,12.78
,  Medium,21.53,8.34,4.53,4.92,1.43,3.24,26.53,6.03,14.68
Temperature,,25.51,11.18,17.66,15.56,5.16,23.89,4.85,21.09,16.09
,  11-20,22.95,11.18,17.27,15.56,5.16,23.89,4.85,1.57,16.09
,  31-40,23.31,9.59,17.66,14.28,3.60,21.90,0.69,21.09,15.69
,  Low,25.51,5.06,16.94,11.24,1.41,19.02,0.93,6.70,12.63
