Characteristic,Intensity,2015_Georgia_Albany,2015_Georgia_Columbus,2015_Georgia_Malibu,2020_California_Berkeley,2020_California_Los-Angeles,2020_California_Washington,Maximum
Humidity,,24.69,6.29,12.91,16.52,27.51,14.87,27.51
,  21-30,18.12,2.77,11.38,16.52,4.34,12.65,18.12
,  Low,18.92,0.68,10.60,1.88,26.12,3.34,26.12
,  Storm,24.69,6.29,12.91,7.78,27.51,14.87,27.51
Temperature,,25.14,7.58,11.73,21.33,27.59,16.31,27.59
,  11-20,18.83,3.03,11.73,16.37,22.60,13.31,22.60
,  Calm,25.14,7.58,0.03,21.33,27.59,16.31,27.59
,  High,16.54,0.46,10.12,15.21,5.49,10.43,16.54
Wind,,25.60,8.38,13.78,22.27,25.51,14.15,25.60
,  0-10,23.03,5.30,12.85,4.54,25.51,14.15,25.51
,  Low,25.60,8.38,13.78,22.27,8.35,12.83,25.60
,  Medium,20.87,2.03,10.10,3.37,24.65,10.50,24.65
